"Simplified","Traditional","Pinyin","Level","Meaning"
"一般来说","一般來說","yi4ban1lai2shuo1","5","generally speaking"
"一连","一連","yi4lian2","5","in a row"
"一时","一時","yi4shi2","5","a period of time"
"意见","意見","yi4jian4","5","idea"
"意义","意義","yi4yi4","5","sense"
"阴","陰","yin1","5","overcast (weather)"
"音响","音響","yin1xiang3","5","sound"
"营养","營養","ying2yang3","5","nutrition"
"拥有","擁有","yong3you3","5","to have"
"优点","優點","you1dian3","5","merit"
"优秀","優秀","you1xiu4","5","outstanding"
"邮票","郵票","you2piao4","5","(postage) stamp"
"游客","遊客","you2ke4","5","traveler"
"由于","由於","you2yu2","5","due to"
"有点儿","有點兒","you3dian3r","5","slightly"
"有钱","有錢","you3qian2","5","well-off"
"友谊","友誼","you3yi4","5","companionship"
"于是","於是","yu2shi4","5","thereupon"
"与","與","yu3","5","and"
"预备","預備","yu4bei4","5","to prepare"
"预习","預習","yu4xi2","5","to prepare a lesson"
"员工","員工","yuan2gong1","5","staff"
"原谅","原諒","yuan2liang4","5","to excuse"
"愿望","願望","yuan4wang4","5","desire"
"约会","約會","yue1hui4","5","appointment"
"月饼","月餅","yue4bing3","5","mooncake (esp. for the Mid-Autumn Festival)"
"阅读","閱讀","yue4du2","5","to read"
"乐团","樂團","yue4tuan2","5","band"
"运气","運氣","yun4qi4","5","luck (good or bad)"
"在于","在於","zai4yu2","5","to be in"
"责任","責任","ze2ren4","5","responsibility"
"暂时","暫時","zhan4shi2","5","temporary"
"战争","戰爭","zhan4zheng1","5","war"
"长大","長大","zhang3da4","5","to grow up"
"障碍","障礙","zhan4gai4","5","barrier"
"找钱","找錢","zhao3qian2","5","to give change"
"哲学","哲學","zhe2xue2","5","philosophy"
"这下子","這下子","zhe4xia4zi","5","this time"
"这样","這樣","zhe4yang4","5","this kind of"
"这样子","這樣子","zhe4yang4zi","5","so"
"真实","真實","zhen1shi2","5","true"
"珍贵","珍貴","zhen1gui4","5","precious"
"整齐","整齊","zheng3qi2","5","orderly"
"正确","正確","zheng4que4","5","correct"
"证明","證明","zheng4ming2","5","proof"
"证书","證書","zheng4shu1","5","credentials"
"知识","知識","zhi1shi4","5","knowledge"
"之后","之後","zhi1hou4","5","afterwards"
"之间","之間","zhi1jian1","5","between"
"职员","職員","zhi2yuan2","5","office worker"
"至于","至於","zhi4yu2","5","as for"
"终于","終於","zhong1yu2","5","at last"
"重点","重點","zhong4dian3","5","to recount (e.g. results of election)"
"重视","重視","zhong4shi4","5","to attach importance to sth"
"周围","周圍","zhou1wei2","5","surroundings"
"主动","主動","zhu3dong4","5","to take the initiative"
"主妇","主婦","zhu3fu4","5","housewife"
"主题","主題","zhu3ti2","5","theme"
"专心","專心","zhuan1xin1","5","to concentrate"
"专业","專業","zhuan1ye4","5","specialty"
"状态","狀態","zhuang4tai4","5","state of affairs"
"准时","準時","zhun3shi2","5","on time"
"资料","資料","zi1liao4","5","material"
"资源","資源","zi1yuan2","5","natural resource (such as water or minerals)"
"仔细","仔細","zi3xi4","5","careful"
"自从","自從","zi4cong2","5","since (a time)"
"自动","自動","zi4dong4","5","automatic"
"自杀","自殺","zi4sha1","5","to kill oneself"
"总而言之","總而言之","zong3er2yan2zhi1","5","in short"
"总算","總算","zong3suan4","5","at long last"
"总统","總統","zong3tong3","5","president (of a country)"
"总之","總之","zong3zhi1","5","in a word"
"做梦","做夢","zuo4meng4","5","to dream"
"哎哟","哎喲","ai1yao1","6","hey"
"爱好","愛好","ai4hao4","6","to like"
"爱护","愛護","ai4hu4","6","to cherish"
"爱人","愛人","ai4ren2","6","spouse (PRC)"
"安装","安裝","an1zhuang1","6","to install"
"按时","按時","an4shi2","6","on time"
"肮脏","骯髒","ang1zhang1","6","dirty"
"罢工","罷工","ba4gong1","6","a strike"
"罢了","罷了","ba4le","6","a modal particle indicating (that's all, only, nothing much)"
"摆脱","擺脫","bai3tuo1","6","to break away from"
"拜访","拜訪","bai4fang3","6","to pay a visit"
"拜托","拜託","bai4tuo1","6","to request sb to do sth"
"班长","班長","ban1zhang3","6","class monitor"
"搬运","搬運","ban1yun4","6","freight"
"半数","半數","ban4shu4","6","half the number"
"办公","辦公","ban4gong1","6","to handle official business"
"办事","辦事","ban4shi4","6","to handle (affairs)"
"包装","包裝","bao1zhuang1","6","to pack"
"保卫","保衛","bao3wei4","6","to defend"
"宝宝","寶寶","bao3bao","6","darling"
"报仇","報仇","bao4chou2","6","to take revenge"
"报答","報答","bao4da2","6","to repay"
"报导","報導","bao4dao3","6","to report (in the media)"
"报到","報到","bao4dao4","6","to report for duty"
"报警","報警","bao4jing3","6","to sound an alarm"
"报社","報社","bao4she4","6","newspaper (i.e. a company)"
"悲剧","悲劇","bei1ju4","6","tragedy"
"本领","本領","ben3ling3","6","skill"
"笔记","筆記","bi3ji4","6","to take down (in writing)"
"笔试","筆試","bi3shi4","6","written examination"
"闭","閉","bi4","6","to close"
"编","編","bian1","6","to weave"
"变动","變動","bian4dong4","6","to change"
"标题","標題","biao1ti2","6","title"
"标志","標誌","biao1zhi4","6","sign"
"表扬","表揚","biao3yang2","6","to praise"
"并且","並且","bing4qie3","6","and"
"拨","撥","bo1","6","to push aside with the hand, foot, a stick etc"
"波动","波動","bo1dong4","6","to undulate"
"补","補","bu3","6","to repair"
"补偿","補償","bu3chang2","6","to compensate"
"补充","補充","bu3chong1","6","to replenish"
"补课","補課","bu3ke4","6","to make up missed lesson"
"补习","補習","bu3xi2","6","to take extra lessons in a cram school or with a private tutor"
"补助","補助","bu3zhu4","6","to subsidize"
"不当","不當","bu4dang4","6","unsuitable"
"不敢当","不敢當","bu4gan3dang1","6","lit. I dare not (accept the honor); fig. I don't deserve your praise"
"不顾","不顧","bu4gu4","6","in spite of"
"不见得","不見得","bu4jian4de","6","not necessarily"
"不仅","不僅","bu4jin3","6","not only (this one)"
"不许","不許","bu4xu3","6","not to allow"
"部队","部隊","bu4dui4","6","army"
"部长","部長","bu4zhang3","6","head of a (government etc) department"
"财产","財產","cai2chan3","6","property"
"财富","財富","cai2fu4","6","wealth"
"裁员","裁員","cai2yuan2","6","to cut staff"
"采购","採購","cai3gou4","6","to procure (for an enterprise etc)"
"参与","參與","can1yu4","6","to participate (in sth)"
"蚕","蠶","can2","6","silkworm"
"惭愧","慚愧","can2kui4","6","ashamed"
"惨","慘","can3","6","miserable"
"仓库","倉庫","cang1ku4","6","depot"
"册","冊","ce4","6","book"
"测量","測量","ce4liang2","6","survey"
"测试","測試","ce4shi4","6","to test (machinery etc)"
"测验","測驗","ce4yan4","6","test"
"差错","差錯","cha1cuo4","6","mistake"
"插图","插圖","cha1tu2","6","illustration"
"茶馆","茶館","cha2guan3","6","teahouse"
"茶会","茶會","cha2hui4","6","tea party"
"茶叶","茶葉","cha2ye4","6","tea"
"产量","產量","chan3liang4","6","output"
"产业","產業","chan3ye4","6","industry"
"常识","常識","chang2shi4","6","common sense"
"长处","長處","chang2chu4","6","good aspects"
"长度","長度","chang2du4","6","length"
"长方形","長方形","chang2fang1xing2","6","rectangle"
"长久","長久","chang2jiu3","6","(for a) long time"
"长途","長途","chang2tu2","6","long distance"
"场地","場地","chang3di4","6","space"
"场合","場合","chang3he2","6","situation"
"场所","場所","chang3suo3","6","location"
"厂商","廠商","chang3shang1","6","manufacturer"
"钞票","鈔票","chao1piao4","6","paper money"
"吵闹","吵鬧","chao3nao4","6","noisy"
"车票","車票","che1piao4","6","ticket (for a bus or train)"
"陈列","陳列","chen2lie4","6","to display"
"称","稱","cheng1","6","to fit"
"撑","撐","cheng1","6","to support"
"成为","成為","cheng2wei2","6","to become"
"成语","成語","cheng2yu3","6","Chinese set expression, typically of 4 characters, often alluding to a story or historical quotation"
"诚恳","誠懇","cheng2ken3","6","sincere"
"诚意","誠意","cheng2yi4","6","sincerity"
"呈现","呈現","cheng2xian4","6","to appear"
"吃亏","吃虧","chi1kui1","6","to suffer losses"
"迟早","遲早","chi2zao3","6","sooner or later"
"冲","沖, 衝","chong1","6","(of water) to dash against"
"充满","充滿","chong1man3","6","full of"
"抽屉","抽屜","chou1ti","6","drawer"
"出产","出產","chu1chan3","6","to produce (by natural growth, or by manufacture, mining etc)"
"初级","初級","chu1ji2","6","junior"
"储存","儲存","chu2cun2","6","stockpile"
"储蓄","儲蓄","chu2xu4","6","to deposit money"
"处罚","處罰","chu3fa2","6","to penalize"
"处处","處處","chu4chu4","6","everywhere"
"传播","傳播","chuan2bo4","6","to disseminate"
"传达","傳達","chuan2da2","6","to pass on"
"传单","傳單","chuan2dan1","6","leaflet"
"传染","傳染","chuan2ran3","6","to infect"
"传说","傳說","chuan2shuo1","6","legend"
"传送","傳送","chuan2song4","6","to convey"
"床单","床單","chuang2dan1","6","bed sheet"
"闯","闖","chuang3","6","to rush"
"创作","創作","chuang4zuo4","6","to create"
"磁带","磁帶","ci2dai4","6","magnetic tape"
"词典","詞典","ci2dian3","6","dictionary (of Chinese compound words)"
"词汇","詞彙","ci2hui4","6","vocabulary"
"辞职","辭職","ci2zhi2","6","to resign"
"次数","次數","ci4shu4","6","number of times"
"从此","從此","cong2ci3","6","from now on"
"从没","從沒","cong2mei2","6","never (in the past)"
"从事","從事","cong2shi4","6","to go for"
"凑","湊","cou4","6","to gather together, pool or collect"
"促进","促進","cu4jin4","6","to promote (an idea or cause)"
"错过","錯過","cuo4guo4","6","to miss (train, opportunity etc)"
"错字","錯字","cuo4zi4","6","incorrect character"
"达到","達到","da2dao4","6","to reach"
"打断","打斷","da3duan4","6","to interrupt"
"打扰","打擾","da3rao3","6","to disturb"
"打针","打針","da3zhen1","6","to give or have an injection"
"大胆","大膽","da4dan3","6","brazen"
"大脑","大腦","dan4ao3","6","brain"
"大众","大眾","da4zhong4","6","Volkswagen (automobile manufacturer)"
"代沟","代溝","dai4gou1","6","generation gap"
"代价","代價","dai4jia4","6","price"
"带动","帶動","dai4dong4","6","to spur"
"带路","帶路","dai4lu4","6","to lead the way"
"带子","帶子","dai4zi","6","belt"
"贷款","貸款","dai4kuan3","6","a loan"
"单调","單調","dan1diao4","6","monotonous"
"单位","單位","dan1wei4","6","unit (of measure)"
"单子","單子","dan1zi","6","the only son of a family"
"担保","擔保","dan1bao3","6","to guarantee"
"耽误","耽誤","dan1wu4","6","to delay"
"胆量","膽量","dan3liang4","6","courage"
"胆小","膽小","dan3xiao3","6","cowardice"
"蛋白质","蛋白質","dan4bai2zhi2","6","protein"
"诞生","誕生","dan4sheng1","6","to be born"
"当初","當初","dang1chu1","6","at that time"
"当时","當時","dang1shi2","6","then"
"当选","當選","dang1xuan3","6","to be elected"
"挡","擋","dang3","6","to resist"
"档案","檔案","dan3gan4","6","file"
"导游","導遊","dao3you2","6","tour guide"
"到达","到達","dao4da2","6","to reach"
"得奖","得獎","de2jiang3","6","to win a prize"
"登记","登記","deng1ji4","6","to register (one's name)"
"等级","等級","deng3ji2","6","grade"
"等于","等於","deng3yu2","6","to equal"
"的确","的確","di2que4","6","really"
"递","遞","di4","6","to hand over"
"典礼","典禮","dian3li3","6","celebration"
"点燃","點燃","dian3ran2","6","to ignite"
"点头","點頭","dian3tou2","6","to nod"
"垫","墊","dian4","6","pad"
"电报","電報","dian4bao4","6","telegram"
"电动","電動","dian4dong4","6","electric-powered"
"电扇","電扇","dian4shan4","6","electric fan"
"电线","電線","dian4xian4","6","wire"
"电子","電子","dian4zi3","6","electronic"
"钓","釣","diao4","6","to fish with a hook and bait"
"顶","頂","ding3","6","apex"
"订婚","訂婚","ding4hun1","6","to get engaged"
"订位","訂位","ding4wei4","6","to reserve a seat"
"丢脸","丟臉","diu1lian3","6","to lose face"
"丢人","丟人","diu1ren2","6","to lose face"
"冻","凍","dong4","6","to freeze"
"栋","棟","dong4","6","classifier for houses or buildings"
"动不动","動不動","dong4budong4","6","apt to happen (usually of sth undesirable)"
"动词","動詞","dong4ci2","6","verb"
"动人","動人","dong4ren2","6","touching"
"动身","動身","dong4shen1","6","to go on a journey"
"动手","動手","dong4shou3","6","to set about (a task)"
"动作","動作","dong4zuo4","6","movement"
"斗争","鬥爭","dou4zheng1","6","a struggle"
"独立","獨立","du2li4","6","independent"
"独自","獨自","du2zi4","6","alone"
"赌","賭","du3","6","to bet"
"度过","度過","du4guo4","6","to pass"
"锻炼","鍛鍊","duan4lian4","6","to toughen"
"队员","隊員","dui4yuan2","6","team member"
"对岸","對岸","dui4an4","6","opposite bank (of a body of water)"
"对策","對策","dui4ce4","6","countermeasure for dealing with a situation"
"对待","對待","dui4dai4","6","to treat"
"对付","對付","dui4fu4","6","to handle"
"对抗","對抗","dui4kang4","6","to withstand"
"对立","對立","dui4li4","6","to oppose"
"对于","對於","dui4yu2","6","regarding"
"吨","噸","dun4","6","ton (loanword)"
"多数","多數","duo1shu4","6","majority"
"多谢","多謝","duo1xie4","6","many thanks"
"夺","奪","duo2","6","to seize"
"鹅","鵝","e2","6","goose"
"恶劣","惡劣","e4lie4","6","vile"
"发动","發動","fa1dong4","6","to start"
"发抖","發抖","fa1dou3","6","to tremble"
"发起","發起","fa1qi3","6","to originate"
"发射","發射","fa1she4","6","to shoot (a projectile)"
"发行","發行","fa1xing2","6","to publish"
"发言","發言","fa1yan2","6","to make a speech"
"发扬","發揚","fa1yang2","6","to develop"
"发音","發音","fa1yin1","6","to pronounce"
"发展","發展","fa1zhan3","6","development"
"发型","髮型","fa3xing2","6","hairstyle"
"繁荣","繁榮","fan2rong2","6","prosperous"
"反对","反對","fan3dui4","6","to fight against"
"反复","反覆","fan3fu4","6","repeatedly"
"反问","反問","fan3wen4","6","to ask (a question) in reply"
"犯错","犯錯","fan4cuo4","6","to err"
"放弃","放棄","fang4qi4","6","to renounce"
"放学","放學","fang4xue2","6","to dismiss students at the end of the school day"
"废话","廢話","fei4hua4","6","nonsense"
"废气","廢氣","fei4qi4","6","exhaust gas"
"废水","廢水","fei4shui3","6","waste water"
"废物","廢物","fei4wu4","6","rubbish"
"分别","分別","fen1bie2","6","to part or leave each other"
"分数","分數","fen1shu4","6","(exam) grade"
"纷纷","紛紛","fen1fen1","6","one after another"
"粉笔","粉筆","fen3bi3","6","chalk"
"奋斗","奮鬥","fen4dou4","6","to strive"
"愤怒","憤怒","fen4nu4","6","angry"
"风气","風氣","feng1qi4","6","general mood"
"风趣","風趣","feng1qu4","6","charm"
"风险","風險","feng1xian3","6","risk"
"疯","瘋","feng1","6","insane"
"疯狂","瘋狂","feng1kuang2","6","crazy"
"疯子","瘋子","feng1zi","6","madman"
"缝","縫","feng2","6","to sew"
"讽刺","諷刺","feng4ci4","6","to satirize"
"否认","否認","fou3ren4","6","to declare to be untrue"
"符号","符號","fu2hao4","6","symbol"
"辅导","輔導","fu3dao3","6","to give guidance"
"妇女","婦女","fun4ü3","6","woman"
"复杂","複雜","fu4za2","6","complicated"
"复制","複製","fu4zhi4","6","to duplicate"
"干杯","乾杯","gan1bei1","6","to drink a toast"
"干脆","乾脆","gan1cui4","6","straightforward"
"赶紧","趕緊","gan3jin3","6","hurriedly"
"干部","幹部","gan4bu4","6","cadre"
"干嘛","幹嘛","gan4ma","6","what are you doing?"
"干什么","幹什麼","gan4shen2me","6","what are you doing?"
"钢笔","鋼筆","gang1bi3","6","fountain pen"
"刚好","剛好","gang1hao3","6","just"
"港币","港幣","gang3bi4","6","Hong Kong currency"
"高贵","高貴","gao1gui4","6","grandeur"
"高级","高級","gao1ji2","6","high level"
"告辞","告辭","gao4ci2","6","to say goodbye"
"搁","擱","ge1","6","to place"
"歌剧","歌劇","ge1ju4","6","Western opera"
"各行各业","各行各業","ge4hang2ge4ye4","6","every trade"
"个别","個別","ge4bie2","6","individual"
"个性","個性","ge4xing4","6","individuality"
"工会","工會","gong1hui4","6","labor union"
"工钱","工錢","gong1qian2","6","salary"
"工资","工資","gong1zi1","6","wages"
"公开","公開","gong1kai1","6","public"
"供应","供應","gong1ying4","6","to supply"
"构成","構成","gou4cheng2","6","to constitute"
"构造","構造","gou4zao4","6","structure"
"孤单","孤單","gu1dan1","6","lone"
"估计","估計","gu1ji4","6","to estimate"
"鼓励","鼓勵","gu3li4","6","to encourage"
"骨头","骨頭","gu2tou","6","bone"
"顾问","顧問","gu4wen4","6","adviser"
"故乡","故鄉","gu4xiang1","6","home"
"挂号信","掛號信","gua4hao4xin4","6","registered letter"
"官员","官員","guan1yuan2","6","official (in an organization or government)"
"关键","關鍵","guan1jian4","6","crucial point"
"关上","關上","guan1shang4","6","to close (a door)"
"关于","關於","guan1yu2","6","pertaining to"
"观光","觀光","guan1guang1","6","to tour"
"惯例","慣例","guan4li4","6","convention"
"冠军","冠軍","guan4jun1","6","champion"
"罐头","罐頭","guan4tou","6","tin"
"光临","光臨","guang1lin2","6","(formal) to honor with one's presence"
"光荣","光榮","guang1rong2","6","honor and glory"
"光线","光線","guang1xian4","6","light ray"
"广大","廣大","guang3da4","6","(of an area) vast or extensive"
"广泛","廣泛","guang3fan4","6","extensive"
"广阔","廣闊","guang3kuo4","6","wide"
"规定","規定","gui1ding4","6","provision"
"规律","規律","gui1lü4","6","rule (e.g. of science)"
"规则","規則","gui1ze2","6","rule"
"柜台","櫃臺","gui4tai2","6","variant of 櫃檯|柜台[gui4 tai2]"
"贵族","貴族","gui4zu2","6","lord"
"滚","滾","gun3","6","to boil"
"锅","鍋","guo1","6","pot"
"国会","國會","guo2hui4","6","parliament"
"国籍","國籍","guo2ji2","6","nationality"
"国际","國際","guo2ji4","6","international"
"国立","國立","guo2li4","6","national"
"国旗","國旗","guo2qi2","6","flag (of a country)"
"国小","國小","guo2xiao3","6","elementary school (Taiwan)"
"国中","國中","guo2zhong1","6","junior high school (Taiwan)"
"过程","過程","guo4cheng2","6","course of events"
"过度","過度","guo4du4","6","excessive"
"过渡","過渡","guo4du4","6","to cross over (by ferry)"
"过节","過節","guo4jie2","6","to celebrate a festival"
"过滤","過濾","guo4lü4","6","to filter"
"过期","過期","guo4qi2","6","to be overdue"
"过世","過世","guo4shi4","6","to die"
"还不如","還不如","hai2bu4ru2","6","to be better off ..."
"还有","還有","hai2you3","6","furthermore"
"海关","海關","hai3guan1","6","customs (i.e. border crossing inspection)"
"海军","海軍","hai3jun1","6","navy"
"海峡","海峽","hai3xia2","6","channel"
"海鲜","海鮮","hai3xian1","6","seafood"
"害处","害處","hai4chu4","6","damage"
"行业","行業","hang2ye4","6","industry"
"毫无","毫無","hao2wu2","6","not in the least"
"号召","號召","hao4zhao4","6","to call"
"合不来","合不來","he2bulai2","6","unable to get along together"
"合得来","合得來","he2delai2","6","to get along well"
"合适","合適","he2shi4","6","suitable"
"和气","和氣","he2qi4","6","friendly"
"何况","何況","he2kuang4","6","let alone"
"痕迹","痕跡","hen2ji1","6","vestige"
"横","橫","heng2","6","horizontal"
"喉咙","喉嚨","hou2long","6","throat"
"后代","後代","hou4dai4","6","descendant"
"后方","後方","hou4fang1","6","the rear"
"后果","後果","hou4guo3","6","consequences"
"后悔","後悔","hou4hui3","6","to regret"
"后年","後年","hou4nian2","6","the year after next"
"后头","後頭","hou4tou","6","behind"
"后退","後退","hou4tui4","6","to recoil"
"后院","後院","hou4yuan4","6","rear court"
"忽视","忽視","hu1shi4","6","to neglect"
"胡子","鬍子","hu2zi","6","beard"
"户","戶","hu4","6","a household"
"户外","戶外","hu4wai4","6","outdoor"
"花费","花費","hua1fei4","6","expense"
"华侨","華僑","hua2qiao2","6","overseas Chinese"
"华人","華人","hua2ren2","6","ethnic Chinese person or people"
"化学","化學","hua4xue2","6","chemistry"
"化妆","化妝","hua4zhuang1","6","to put on makeup"
"化装","化裝","hua4zhuang1","6","(of actors) to make up"
"怀念","懷念","huai2nian4","6","to cherish the memory of"
"怀孕","懷孕","huai2yun4","6","pregnant"
"坏蛋","壞蛋","huai4dan4","6","bad egg"
"欢呼","歡呼","huan1hu1","6","to cheer for"
"欢乐","歡樂","huan1le4","6","gaiety"
"欢喜","歡喜","huan1xi3","6","happy"
"缓和","緩和","huan3he2","6","to ease (tension)"
"缓慢","緩慢","huan3man4","6","slow"
"黄豆","黃豆","huang2dou4","6","soybean"
"黄昏","黃昏","huang2hun1","6","dusk"
"回电","回電","hui2dian4","6","to reply to a telegram"
"回头","回頭","hui2tou2","6","to turn round"
"回忆","回憶","hui2yi4","6","to recall"
"汇款","匯款","hui4kuan3","6","to remit money"
"会员","會員","hui4yuan2","6","member"
"活该","活該","huo2gai1","6","(coll.) serve sb right"
"活泼","活潑","huo2po1","6","lively"
"活跃","活躍","huo2yue4","6","active"
"火灾","火災","huo3zai1","6","fire (that burns buildings etc)"
"货物","貨物","huo4wu4","6","goods"
"获得","獲得","huo4de2","6","to obtain"
"几乎","幾乎","ji1hu1","6","almost"
"机构","機構","ji1gou4","6","mechanism"
"机关","機關","ji1guan1","6","mechanism"
"机票","機票","ji1piao4","6","air ticket"
"机械","機械","ji1xie4","6","machine"
"及时","及時","ji2shi2","6","in time"
"即将","即將","ji2jiang1","6","on the eve of"
"极其","極其","ji2qi2","6","extremely"
"集邮","集郵","ji2you2","6","stamp collecting"
"技术","技術","ji4shu4","6","technology"
"计算","計算","ji4suan4","6","to count"
"计较","計較","ji4jiao4","6","to bother about"
"记性","記性","ji4xing4","6","memory (ability to retain information)"
"记载","記載","ji4zai4","6","to write down"
"记住","記住","ji4zhu4","6","to remember"
"夹","夾","jia2","6","to press from either side"
"驾驶","駕駛","jia4shi3","6","to pilot (ship, airplane etc)"
"尖锐","尖銳","jian1rui4","6","sharp"
"坚定","堅定","jian1ding4","6","firm"
"坚决","堅決","jian1jue2","6","firm"
"监视","監視","jian1shi4","6","to monitor"
"监狱","監獄","jian1yu4","6","prison"
"拣","揀","jian3","6","to choose"
"捡","撿","jian3","6","to pick up"
"检验","檢驗","jian3yan4","6","to inspect"
"建国","建國","jian4guo2","6","to found a country"
"建筑","建築","jian4zhu2","6","to construct"
"渐渐","漸漸","jian4jian4","6","gradually"
"间接","間接","jian4jie1","6","indirect"
"键盘","鍵盤","jian4pan2","6","keyboard"
"将要","將要","jiang1yao4","6","will"
"奖金","獎金","jiang3jin1","6","premium"
"奖品","獎品","jiang3pin3","6","award"
"降价","降價","jiang4jia4","6","to cut the price"
"浇","澆","jiao1","6","to pour liquid"
"交换","交換","jiao1huan4","6","to exchange"
"交际","交際","jiao1ji4","6","communication"
"缴","繳","jiao3","6","to hand in"
"脚步","腳步","jiao3bu4","6","footstep"
"教会","教會","jiao4hui4","6","to show"
"教学","教學","jiao4xue2","6","to teach"
"接见","接見","jie1jian4","6","to receive sb"
"街头","街頭","jie1tou2","6","street"
"阶段","階段","jie1duan4","6","stage"
"节省","節省","jie2sheng3","6","saving"
"节约","節約","jie2yue1","6","to economize"
"结构","結構","jie2gou4","6","structure"
"结合","結合","jie2he2","6","to combine"
"结论","結論","jie2lun4","6","conclusion"
"结算","結算","jie2suan4","6","to settle a bill"
"结帐","結帳","jie2zhang4","6","to pay the bill"
"届","屆","jie4","6","to arrive at (place or time)"
"界线","界線","jie4xian4","6","limits"
"今后","今後","jin1hou4","6","hereafter"
"金额","金額","jin1e2","6","sum of money"
"金属","金屬","jin1shu3","6","metal"
"尽量","儘量, 盡量","jin3liang4, jin4liang4","6","as much as possible"
"紧急","緊急","jin3ji2","6","urgent"
"仅仅","僅僅","jin3jin3","6","barely"
"近来","近來","jin4lai2","6","recently"
"近视","近視","jin4shi4","6","shortsighted"
"尽力","盡力","jin4li4","6","to strive one's hardest"
"进入","進入","jin4ru4","6","to enter"
"进口","進口","jin4kou3","6","to import"
"精细","精細","jing1xi4","6","fine"
"经济","經濟","jing1ji4","6","economy"
"经历","經歷","jing1li4","6","experience"
"经营","經營","jing1ying2","6","to engage in (business etc)"
"京剧","京劇","jing1ju4","6","Beijing opera"
"惊人","驚人","jing1ren2","6","astonishing"
"敬爱","敬愛","jin4gai4","6","respect and love"
"敬礼","敬禮","jing4li3","6","to salute"
"净化","淨化","jing4hua4","6","to purify"
"竞争","競爭","jing4zheng1","6","to compete"
"纠正","糾正","jiu1zheng4","6","to correct"
"酒会","酒會","jiu3hui4","6","drinking party"
"就是说","就是說","jiu4shi4shuo1","6","in other words"
"就业","就業","jiu4ye4","6","to get a job"
"具备","具備","ju4bei4","6","to possess"
"具体","具體","ju4ti3","6","concrete"
"俱乐部","俱樂部","ju4le4bu4","6","club (the organisation or its premises) (loanword)"
"剧场","劇場","ju4chang3","6","theater"
"剧烈","劇烈","ju4lie4","6","violent"
"剧院","劇院","ju4yuan4","6","theater"
"据说","據說","ju4shuo1","6","it is said that"
"卷","捲","juan3","6","to roll (up)"
"决心","決心","jue2xin1","6","determination"
"绝不","絕不","jue2bu4","6","in no way"
"绝大部分","絕大部分","jue2da4bu4fen4","6","overwhelming majority"
"觉悟","覺悟","jue2wu4","6","to come to understand"
"军事","軍事","jun1shi4","6","military affairs"
"开除","開除","kai1chu2","6","to expel"
"开刀","開刀","kai1dao1","6","(of a surgeon) to perform an operation"
"开发","開發","kai1fa1","6","to exploit (a resource)"
"开户","開戶","kai1hu4","6","to open an account (bank etc)"
"开课","開課","kai1ke4","6","school begins"
"开明","開明","kai1ming2","6","enlightened"
"开设","開設","kai1she4","6","to offer (goods or services)"
"开拓","開拓","kai1tuo4","6","to break new ground (for agriculture)"
"开演","開演","kai1yan3","6","(of a play, movie etc) to begin"
"看来","看來","kan4lai2","6","apparently"
"看样子","看樣子","kan4yang4zi","6","it seems"
"抗议","抗議","kang4yi4","6","to protest"
"考虑","考慮","kao3lü4","6","to think over"
"颗","顆","ke1","6","classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc"
"客观","客觀","ke4guan1","6","objective"
"客户","客戶","ke4hu4","6","client"
"课外","課外","ke4wai4","6","extracurricular"
"口号","口號","kou3hao4","6","slogan"
"口红","口紅","kou3hong2","6","lipstick"
"口气","口氣","kou3qi4","6","tone of voice"
"口试","口試","kou3shi4","6","oral examination"
"口语","口語","kou3yu3","6","colloquial speech"
"夸奖","誇獎","kua1jiang3","6","to praise"
"会计","會計","kuai4ji4","6","accountant"
"宽度","寬度","kuan1du4","6","width"
"蜡烛","蠟燭","la4zhu2","6","candle"
"来回","來回","lai2hui2","6","to make a round trip"
"来临","來臨","lai2lin2","6","to approach"
"来往","來往","lai2wang3","6","to come and go"
"来信","來信","lai2xin4","6","incoming letter"
"来源","來源","lai2yuan2","6","source (of information etc)"
"来自","來自","lai2zi4","6","to come from (a place)"
"篮子","籃子","lan2zi","6","basket"
"懒","懶","lan3","6","lazy"
"懒得","懶得","lan3de","6","not to feel like (doing sth)"
"烂","爛","lan4","6","soft"
"滥用","濫用","lan4yong4","6","to misuse"
"浪费","浪費","lang4fei4","6","to waste"
"捞","撈","lao1","6","to fish up"
"牢骚","牢騷","lao2sao1","6","discontent"
"劳动","勞動","lao2dong4","6","work"
"劳工","勞工","lao2gong1","6","labor"
"劳力","勞力","lao2li4","6","labor"
"唠叨","嘮叨","lao2dao","6","to prattle"
"老板娘","老闆娘","lao3ban3niang2","6","female proprietor"
"老实说","老實說","lao3shi2shuo1","6","honestly speaking"
"乐意","樂意","le4yi4","6","to be willing to do sth"
"类似","類似","lei4si4","6","similar"
"冷静","冷靜","leng3jing4","6","calm"
"冷饮","冷飲","leng3yin3","6","cold drink"
"礼品","禮品","li3pin3","6","gift"
"力气","力氣","li4qi","6","strength"
"立场","立場","li4chang3","6","position"
"利润","利潤","li4run4","6","profits"
"联合","聯合","lian2he2","6","to combine"
"联合国","聯合國","lian2he2guo2","6","United Nations"
"连接","連接","lian2jie1","6","to link"
"连忙","連忙","lian2mang2","6","promptly"
"连续","連續","lian2xu4","6","continuous"
"脸色","臉色","lian3se4","6","complexion"
"粮食","糧食","liang2shi2","6","foodstuff"
